,id,host_since,host_response_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,accommodates,bathrooms,bedrooms,beds,price,weekly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,response_time_a few days or more,response_time_within a day,response_time_within a few hours,response_time_within an hour,property_Apartment,property_Bed & Breakfast,property_Boat,property_Bungalow,property_Cabin,property_Camper/RV,property_Chalet,property_Condominium,property_Earth House,property_House,property_Hut,property_Loft,property_Other,property_Tent,property_Tipi,property_Townhouse,property_Treehouse,property_Villa,room_Entire home/apt,room_Private room,room_Shared room,bed_Airbed,bed_Couch,bed_Futon,bed_Pull-out Sofa,bed_Real Bed,cancellation_flexible,cancellation_moderate,cancellation_no_refunds,cancellation_strict,cancellation_super_strict_30,,"""24-Hour Check-in""","""Air Conditioning""","""Buzzer/Wireless Intercom""","""Cable TV""","""Carbon Monoxide Detector""","""Elevator in Building""","""Family/Kid Friendly""","""Fire Extinguisher""","""First Aid Kit""","""Free Parking on Premises""","""Hair Dryer""","""Hot Tub""","""Indoor Fireplace""","""Laptop Friendly Workspace""","""Lock on Bedroom Door""","""Other pet(s)""","""Pets Allowed""","""Pets live on this property""","""Safety Card""","""Smoke Detector""","""Smoking Allowed""","""Suitable for Events""","""Washer / Dryer""","""Wheelchair Accessible""","""Wireless Internet""",Breakfast,Cat(s),Dog(s),Doorman,Dryer,Essentials,Gym,Hangers,Heating,Internet,Iron,Kitchen,Pool,Shampoo,TV,Washer
10,7659967,7/28/2015,0,0,1.0,1,0,2,1.0,1.0,1.0,$99.00 ,1,0,0,2,$0.00 ,2,1,29,59,89,364,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1
11,4045302,11/30/2011,100%,0,1.0,1,1,2,1.0,1.0,1.0,$50.00 ,0,$200.00 ,$50.00 ,1,$10.00 ,3,1,24,54,84,84,9,93.0,10.0,10.0,10.0,10.0,10.0,10.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1
12,2989616,7/18/2013,97%,1,9.0,1,1,2,1.0,1.0,1.0,$49.00 ,1,0,0,1,$0.00 ,2,1,25,55,85,360,4,100.0,9.0,10.0,10.0,10.0,10.0,10.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,1,0,1,1,1
13,2853144,7/18/2013,97%,1,9.0,1,1,2,1.0,1.0,1.0,$50.00 ,1,0,0,1,$20.00 ,3,1,29,59,89,364,7,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,1,0,1,1,1
14,330710,11/21/2011,100%,1,12.0,1,0,2,1.0,1.0,1.0,$55.00 ,0,$100.00 ,$75.00 ,1,$0.00 ,1,1,30,60,90,365,14,99.0,10.0,10.0,10.0,10.0,9.0,9.0,0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,1,0,1,0,1
15,5370554,2/16/2015,0,0,1.0,1,1,2,1.0,1.0,1.0,$180.00 ,1,$200.00 ,$100.00 ,0,$0.00 ,1,1,0,0,0,238,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1
16,6629676,6/1/2015,100%,0,2.0,1,1,2,1.0,1.0,1.0,$36.00 ,1,$100.00 ,0,1,$10.00 ,1,1,21,51,81,356,6,87.0,9.0,8.0,10.0,9.0,9.0,10.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
17,8689127,4/26/2015,80%,0,2.0,1,1,2,1.0,1.0,1.0,$125.00 ,1,$100.00 ,$25.00 ,1,$15.00 ,1,1,30,60,90,365,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1
18,7988725,8/21/2015,100%,0,1.0,1,0,6,2.0,2.0,2.0,$59.00 ,0,0,0,1,$0.00 ,2,1,0,4,4,69,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1
19,5260962,4/5/2014,100%,1,2.0,1,1,2,1.0,1.0,1.0,$49.00 ,1,$100.00 ,$20.00 ,2,$25.00 ,1,1,4,4,4,254,4,100.0,10.0,10.0,10.0,10.0,9.0,10.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
